damage_class,depth_m,africa_overall,structure,contents,structure_std,contents_std,overall_std
Residential buildings,0,0,0,0,0,0,0
Residential buildings,0.5,0.219925,0.220764765704188,0.218245468591624,0.0421643888536488,0.0416832222927024,0.042004
Residential buildings,1,0.378227,0.371934555207587,0.390811889584825,0.112394493047843,0.118099013904315,0.114296
Residential buildings,1.5,0.530589,0.520294678779307,0.551177642441387,0.194546783086531,0.206094433826938,0.198396
Residential buildings,2,0.635637,0.612358777435892,0.682193445128216,0.20021116744979,0.223043665100421,0.207822
Residential buildings,3,0.81694,0.774078318730261,0.902663362539479,0.194478483957732,0.226784032084536,0.205247
Residential buildings,4,0.903435,0.862085756025519,0.986133487948961,0.135363404126203,0.154841191747594,0.141856
Residential buildings,5,0.957152,0.918692992828528,1,0.0731468714378377,0.079620582728762,0.076209
Residential buildings,6,1,0.968980780538525,1,0,0,0
Commercial buildings,0,0,0,0,0,0,0
Commercial buildings,0.5,0.0681980109373107,0.0589190976037552,0.0774769242708662,0.0112530989007531,0.014797502453443,0.0130253006770981
Commercial buildings,1,0.260971845416025,0.230474483352572,0.291469207479477,0.069646829944096,0.0880787583595945,0.0788627941518453
Commercial buildings,1.5,0.424262463707098,0.370338026820029,0.478186900594166,0.13847551149569,0.178801988601875,0.158638750048782
Commercial buildings,2,0.530071617882151,0.464875701167626,0.595267534596676,0.151991463631064,0.194623172620459,0.173307318125761
Commercial buildings,3,0.721233992229341,0.639285046277375,0.803182938181306,0.16061318810842,0.20179069272272,0.18120194041557
Commercial buildings,4,0.928470051773721,0.84050572653684,1,0.131974940470106,0.157018490538888,0.145786966040073
Commercial buildings,5,0.990559892205681,0.920701856955906,1,0.0733068183702825,0.079620582728762,0.078868955845156
Commercial buildings,6,1,0.949340880278813,1,0,0,0
Industrial buildings,0,0,0,0,0,0,0
Industrial buildings,0.5,0.062682,0.0476016299538563,0.0727355800307625,0.00909154877609084,0.0138919418147648,0.0119717845992952
Industrial buildings,1,0.247196,0.169775040754273,0.298809972830484,0.051304132328074,0.0902970561452066,0.0746998866183535
Industrial buildings,1.5,0.40333,0.282936736610973,0.483592175592685,0.105794723970287,0.180823110296079,0.150811755765762
Industrial buildings,2,0.494489,0.369034502531326,0.578125331645783,0.120656110932915,0.189018516343904,0.161673554179508
Industrial buildings,3,0.684652,0.552418476524482,0.772807682317012,0.1387889380508,0.194159250829338,0.172011125717923
Industrial buildings,4,0.91859,0.7643455341438,1,0.120016382021399,0.157018490538888,0.144235615224117
Industrial buildings,5,1,0.841674180204045,1,0.0670145886955991,0.079620582728762,0.079620582728762
Industrial buildings,6,1,0.855266239709783,1,0,0,0
Transport,0,0,,,,,0
Transport,0.5,0.0535731672230673,,,,,0.0102320669138921
Transport,1,0.221371313200956,,,,,0.066895952995467
Transport,1.5,0.452721521997858,,,,,0.169280062493356
Transport,2,0.598454424536182,,,,,0.195665128707043
Transport,3,0.834671721943518,,,,,0.209701895994493
Transport,4,0.995370922196385,,,,,0.156291639729577
Transport,5,1.0,,,,,0.0806639711961846
Transport,6,1,,,,,0
Infrastructure - roads,0,0,,,,,0
Infrastructure - roads,0.5,0.0489853159906848,,,,,0.0093558222706501
Infrastructure - roads,1,0.204219772550965,,,,,0.0617129478421294
Infrastructure - roads,1.5,0.385734295359084,,,,,0.144232430868451
Infrastructure - roads,2,0.484151211168495,,,,,0.158293606268136
Infrastructure - roads,3,0.671247172145587,,,,,0.168643313268251
Infrastructure - roads,4,0.889443548656246,,,,,0.139659083429555
Infrastructure - roads,5,0.99727474887672,,,,,0.0794035966462443
Infrastructure - roads,6,1,,,,,0
